monarchrunid,uniqueid,order,date,release,spatialconfig,timecdt,duration,durationsec,behaviorclassification,surface,locatione,locationn,landcoverclassification,turnangle,steplength,bearing,turnwithin
19041a,20,6,7/2/2019,prairie,mixed,11:48:42,0:00:11,11,feed,common milkweed,525685.975,4751959.095,rich,-140.2487685,6.900430494,7.201228043,TRUE
19041a,21,7,7/2/2019,prairie,mixed,11:48:56,0:00:21,21,feed,wild bergamot,525686.84,4751965.941,rich,-112.2261774,9.628157508,254.9750507,
19041a,22,8,7/2/2019,prairie,mixed,11:49:19,0:00:11,11,rest,corn,525677.541,4751963.445,crop,-63.24656658,8.161394612,191.7284841,
19041a,23,9,7/2/2019,prairie,mixed,11:49:32,0:00:12,12,rest,corn,525675.882,4751955.454,crop,-22.1580385,1.68483649,169.5704456,TRUE
19041a,24,10,7/2/2019,prairie,mixed,11:49:46,0:00:12,12,rest,corn,525676.187,4751953.797,crop,9.413105006,5.12980721,178.9835506,TRUE
19041a,25,11,7/2/2019,prairie,mixed,11:50:00,0:00:30,30,rest,bare ground,525676.278,4751948.668,crop,,,,
19048a,26,1,7/2/2019,prairie,mixed,12:10:00,0:00:45,45,release,vegetative plant,525695.017,4751967.448,rich,,66.79115542,55.84479264,
19048a,27,2,7/2/2019,prairie,mixed,12:11:15,0:00:01,1,fly,air,525750.288,4752004.947,rich,-6.325789258,140.5153868,49.51900338,
19048a,28,3,7/2/2019,prairie,mixed,12:11:46,0:00:01,1,fly,air,525857.167,4752096.169,poor,,,,
19049a,29,1,7/16/2019,prairie,mixed,9:18:00,0:07:00,420,release,vegetative wild bergamot,525684.7229,4751729.856,rich,,2.643601702,73.24719668,
19049a,30,2,7/16/2019,prairie,mixed,9:26:00,0:00:30,30,rest,grass,525687.2543,4751730.618,rich,-1.012983893,2.212195717,72.23421279,TRUE
19049a,31,3,7/16/2019,prairie,mixed,9:26:32,0:02:41,161,rest,wild bergamot,525689.361,4751731.293,rich,,,,
19049b,32,1,7/17/2019,prairie,mixed,9:46:00,0:00:05,5,release,oxeye sunflower,525694.889,4751726.422,rich,,3.395402075,238.4820422,
19049b,33,2,7/17/2019,prairie,mixed,9:46:08,0:03:32,212,feed,oxeye sunflower,525691.9945,4751724.647,rich,-73.33981091,0.801808181,165.1422313,TRUE
19049b,34,3,7/17/2019,prairie,mixed,9:49:42,0:00:33,33,feed,oxeye sunflower,525692.2001,4751723.872,rich,-106.1131858,2.184205998,59.02904551,TRUE
19049b,35,4,7/17/2019,prairie,mixed,9:50:17,0:01:24,84,feed,oxeye sunflower,525694.0729,4751724.996,rich,-29.24653337,1.643014063,29.78251214,TRUE
19049b,36,5,7/17/2019,prairie,mixed,9:51:43,0:04:35,275,feed,oxeye sunflower,525694.889,4751726.422,rich,75.91044666,11.18003591,105.6929588,TRUE
19049b,37,6,7/17/2019,prairie,mixed,9:56:38,0:00:01,1,fly,air,525705.6523,4751723.398,rich,-124.308444,37.30364575,341.3845148,TRUE
19049b,38,7,7/17/2019,prairie,mixed,9:56:59,0:00:01,1,fly,air,525693.7444,4751758.75,rich,107.4738401,28.15678928,88.85835494,TRUE
19049b,39,8,7/17/2019,prairie,mixed,9:57:20,0:00:01,1,fly,air,525721.8956,4751759.311,rich,-86.69572459,11.70233509,2.162630355,TRUE
19049b,40,9,7/17/2019,prairie,mixed,9:57:41,0:00:01,1,fly,air,525722.3372,4751771.005,rich,,,,
19050a,41,1,7/17/2019,prairie,mixed,11:18:00,0:00:05,5,release,vegetative wild bergamot,525694.501,4751726.456,rich,,5.551251657,129.9020406,
19050a,42,2,7/17/2019,prairie,mixed,11:18:16,0:00:13,13,,vegetative wild bergamot,525698.7596,4751722.895,rich,33.3377814,1.891344009,163.239822,TRUE
19050a,43,3,7/17/2019,prairie,mixed,11:18:31,0:00:24,24,,vegetative wild bergamot,525699.305,4751721.084,rich,-63.38552282,1.706172617,99.85429915,TRUE
19050a,44,4,7/17/2019,prairie,mixed,11:18:57,0:00:25,25,,oxeye sunflower,525700.986,4751720.792,rich,101.3668045,3.107733743,201.2211036,TRUE
19050a,45,5,7/17/2019,prairie,mixed,11:19:24,0:00:52,52,,black eyed susan,525699.8611,4751717.895,rich,-27.11576346,0.650439267,174.1053402,TRUE
19050a,46,6,7/17/2019,prairie,mixed,11:20:18,0:00:24,24,,black eyed susuan,525699.9279,4751717.248,rich,-40.59071309,1.792198674,133.5146271,TRUE
19050a,47,7,7/17/2019,prairie,mixed,11:20:44,0:00:10,10,feed,wild bergamot,525701.2276,4751716.014,rich,-124.9484676,17.9300178,8.566159501,TRUE
19050a,48,8,7/17/2019,prairie,mixed,11:22:06,0:00:01,1,fly,air,525703.8983,4751733.744,rich,-32.34426609,8.651383025,336.2218934,TRUE
19050a,49,9,7/17/2019,prairie,mixed,11:23:19,0:00:01,1,fly,air,525700.4101,4751741.661,rich,79.41356793,30.43637299,55.63546134,TRUE
19050a,50,10,7/17/2019,prairie,mixed,11:24:32,0:00:01,1,fly,air,525725.5342,4751758.841,rich,31.0172067,13.68414622,86.65266804,TRUE
19050a,51,11,7/17/2019,prairie,mixed,11:25:45,0:00:01,1,fly,air,525739.195,4751759.64,rich,-71.57364827,65.26210776,15.07901978,
19050a,52,12,7/17/2019,prairie,mixed,11:25:50,0:00:01,1,fly,air,525756.173,4751822.655,poor,24.27944122,176.6026124,39.35846099,
19050a,53,13,7/17/2019,prairie,mixed,11:26:51,0:00:01,1,rest,grass,525868.1691,4751959.203,rich,,,,
19051a,54,1,7/16/2019,prairie,mixed,11:10:00,0:00:05,5,release,oxeye sunflower,525679.8483,4751721.502,rich,,1.860801121,25.3228892,
19051a,55,2,7/16/2019,prairie,mixed,11:10:08,0:06:02,362,rest,grass,525680.6442,4751723.184,rich,-6.34794848,78.81789523,18.97494072,TRUE
