ctmmlabel,class,occu,release,count
fq,rich,low,west,0
fq,rich,moderate,west,0
fq,rich,high,west,0
fr,edge,high,west,0
fr,edge,low,west,11
fr,edge,moderate,west,1
fr,poor,high,west,1
fr,poor,low,west,55
fr,poor,moderate,west,5
fr,crop,high,west,0
fr,crop,low,west,0
fr,crop,moderate,west,0
fr,rich,low,west,0
fr,rich,moderate,west,0
fr,rich,high,west,0
ft,edge,high,west,0
ft,edge,low,west,1015
ft,edge,moderate,west,3
ft,poor,high,west,4
ft,poor,low,west,3152
ft,poor,moderate,west,15
ft,rich,low,west,203
ft,rich,moderate,west,2
ft,rich,high,west,0
ft,crop,high,west,0
ft,crop,low,west,0
ft,crop,moderate,west,0
fu,edge,high,west,0
fu,edge,low,west,1015
fu,edge,moderate,west,3
fu,poor,high,west,4
fu,poor,low,west,3152
fu,poor,moderate,west,15
fu,rich,low,west,203
fu,rich,moderate,west,2
fu,rich,high,west,0
fu,crop,high,west,0
fu,crop,low,west,0
fu,crop,moderate,west,0
fv,edge,high,west,2
fv,edge,low,west,93
fv,edge,moderate,west,4
fv,poor,high,west,1
fv,poor,low,west,28
fv,poor,moderate,west,2
fv,rich,low,west,0
fv,rich,moderate,west,0
fv,rich,high,west,0
fv,crop,high,west,0
fv,crop,low,west,0
fv,crop,moderate,west,0
fw,edge,high,west,0
fw,edge,low,west,1015
fw,edge,moderate,west,3
fw,poor,high,west,0
fw,poor,low,west,0
fw,poor,moderate,west,0
fw,rich,low,west,0
fw,rich,moderate,west,0
fw,rich,high,west,0
fw,crop,high,west,0
fw,crop,low,west,0
fw,crop,moderate,west,0
gy,edge,high,west,1
gy,edge,low,west,12
gy,edge,moderate,west,1
gy,poor,low,west,115
gy,poor,moderate,west,0
gy,poor,high,west,0
gy,rich,low,west,0
gy,rich,moderate,west,0
gy,rich,high,west,0
gy,crop,high,west,0
gy,crop,low,west,0
gy,crop,moderate,west,0
gz,crop,moderate,west,0
gz,crop,high,west,0
gz,crop,low,west,15788
gz,edge,low,west,10746
gz,edge,moderate,west,0
gz,edge,high,west,0
gz,poor,low,west,26317
gz,poor,moderate,west,0
gz,poor,high,west,0
gz,rich,low,west,0
gz,rich,moderate,west,0
gz,rich,high,west,0
ha,edge,high,west,1
ha,edge,low,west,1334
ha,edge,moderate,west,8
ha,poor,low,west,869
ha,poor,moderate,west,3
ha,poor,high,west,0
ha,rich,high,west,6
ha,rich,low,west,2487
ha,rich,moderate,west,25
ha,crop,moderate,west,0
ha,crop,high,west,0
ha,crop,low,west,0
hq,edge,high,west,0
hq,edge,low,west,918
hq,edge,moderate,west,6
hq,poor,low,west,163
hq,poor,moderate,west,2
hq,poor,high,west,0
hq,rich,high,west,5
hq,rich,low,west,499
hq,rich,moderate,west,10
hq,crop,moderate,west,0
hq,crop,high,west,0
hq,crop,low,west,0
ht,edge,high,west,0
ht,edge,low,west,918
ht,edge,moderate,west,6
ht,poor,low,west,163
ht,poor,moderate,west,2
ht,poor,high,west,0
ht,rich,high,west,5
ht,rich,low,west,499
ht,rich,moderate,west,10
ht,crop,moderate,west,0
ht,crop,high,west,0
ht,crop,low,west,0
hx,edge,high,west,0
hx,edge,low,west,918
hx,edge,moderate,west,6
hx,poor,low,west,163
hx,poor,moderate,west,2
hx,poor,high,west,0
hx,rich,high,west,5
hx,rich,low,west,499
hx,rich,moderate,west,10
hx,crop,moderate,west,0
hx,crop,high,west,0
hx,crop,low,west,0
