"","Date","Time","Channel","BPM","Antenna","Power","Latitude","Longitude","Tower","M_ID"
"182","7/27/2019","18:06:11",12,37.3,1,62,42.92068,-92.68723,"T2","138"
"184","7/27/2019","18:06:17",12,36.9,2,62,42.92068,-92.68723,"T2","138"
"185","7/27/2019","18:06:19",12,36.8,2,56,42.92068,-92.68723,"T2","138"
"229","7/27/2019","18:06:34",12,36.8,2,60,42.920615,-92.6844217,"T3","138"
"232","7/27/2019","18:06:24",12,37,3,63,42.9185767,-92.69019,"T4","138"
"336","7/27/2019","17:26:27",12,36.1,1,69,42.9187233,-92.6871067,"T5a","138"
"337","7/27/2019","17:26:29",12,36.1,1,69,42.9187233,-92.6871067,"T5a","138"
"338","7/27/2019","17:26:46",12,36.2,1,67,42.9187233,-92.6871067,"T5a","138"
"339","7/27/2019","17:26:47",12,36.2,1,68,42.9187233,-92.6871067,"T5a","138"
"340","7/27/2019","17:27:02",12,36.4,1,73,42.9187233,-92.6871067,"T5a","138"
"342","7/27/2019","17:27:20",12,36.5,1,71,42.9187233,-92.6871083,"T5a","138"
"343","7/27/2019","17:27:22",12,36.6,1,72,42.9187233,-92.6871083,"T5a","138"
"344","7/27/2019","17:27:24",12,36.5,1,72,42.9187233,-92.6871083,"T5a","138"
"345","7/27/2019","17:27:38",12,36.6,1,75,42.9187233,-92.6871083,"T5a","138"
"346","7/27/2019","17:27:40",12,36.6,1,74,42.9187233,-92.6871083,"T5a","138"
"347","7/27/2019","17:27:42",12,36.6,1,73,42.9187233,-92.6871083,"T5a","138"
"348","7/27/2019","17:27:56",12,36.7,1,75,42.9187233,-92.6871083,"T5a","138"
"349","7/27/2019","17:27:58",12,36.7,1,75,42.9187233,-92.6871083,"T5a","138"
"350","7/27/2019","17:28:00",12,36.7,1,75,42.9187233,-92.6871083,"T5a","138"
"351","7/27/2019","17:28:14",12,36.7,1,76,42.9187217,-92.68711,"T5a","138"
"352","7/27/2019","17:28:16",12,36.7,1,74,42.9187217,-92.68711,"T5a","138"
"353","7/27/2019","17:28:18",12,36.7,1,75,42.9187217,-92.68711,"T5a","138"
"354","7/27/2019","17:28:32",12,36.8,1,76,42.9187217,-92.68711,"T5a","138"
"355","7/27/2019","17:28:34",12,36.8,1,76,42.9187217,-92.68711,"T5a","138"
"356","7/27/2019","17:28:36",12,36.8,1,75,42.9187217,-92.68711,"T5a","138"
"357","7/27/2019","17:28:50",12,36.9,1,76,42.9187217,-92.68711,"T5a","138"
"358","7/27/2019","17:28:52",12,36.9,1,75,42.9187217,-92.68711,"T5a","138"
"359","7/27/2019","17:28:54",12,36.9,1,75,42.9187217,-92.68711,"T5a","138"
"360","7/27/2019","17:29:08",12,36.9,1,75,42.9187217,-92.68711,"T5a","138"
"361","7/27/2019","17:29:10",12,36.9,1,74,42.9187217,-92.68711,"T5a","138"
"362","7/27/2019","17:29:11",12,36.9,1,74,42.9187217,-92.68711,"T5a","138"
"363","7/27/2019","17:29:28",12,37,1,74,42.9187217,-92.68711,"T5a","138"
"364","7/27/2019","17:29:29",12,37,1,74,42.9187217,-92.68711,"T5a","138"
"365","7/27/2019","17:29:45",12,37.1,1,75,42.9187217,-92.68711,"T5a","138"
"366","7/27/2019","17:29:47",12,37.1,1,76,42.9187217,-92.68711,"T5a","138"
"367","7/27/2019","17:30:03",12,37.1,1,75,42.9187217,-92.68711,"T5a","138"
"368","7/27/2019","17:30:05",12,37.1,1,74,42.9187217,-92.68711,"T5a","138"
"369","7/27/2019","17:30:21",12,37.2,1,74,42.91872,-92.68711,"T5a","138"
"370","7/27/2019","17:30:23",12,37.2,1,73,42.91872,-92.68711,"T5a","138"
"371","7/27/2019","17:30:24",12,37.2,1,73,42.91872,-92.68711,"T5a","138"
"372","7/27/2019","17:30:39",12,37.1,1,74,42.91872,-92.68711,"T5a","138"
"373","7/27/2019","17:30:40",12,37.1,1,74,42.91872,-92.68711,"T5a","138"
"374","7/27/2019","17:30:42",12,37.1,1,74,42.9187217,-92.68711,"T5a","138"
"375","7/27/2019","17:30:57",12,37,1,74,42.91872,-92.68711,"T5a","138"
"376","7/27/2019","17:30:58",12,37,1,74,42.91872,-92.68711,"T5a","138"
"377","7/27/2019","17:31:00",12,37.1,1,74,42.91872,-92.68711,"T5a","138"
"378","7/27/2019","17:31:14",12,37.1,1,75,42.91872,-92.6871083,"T5a","138"
"379","7/27/2019","17:31:16",12,37.1,1,74,42.91872,-92.6871083,"T5a","138"
"380","7/27/2019","17:31:18",12,37.1,1,75,42.91872,-92.6871083,"T5a","138"
