Date,Time,Antenna,Power,Tower,M_ID,Year
7/16/2019,16:44:53,2,80,T3,51,2019
7/16/2019,16:44:55,2,81,T3,51,2019
7/16/2019,16:44:57,2,84,T3,51,2019
7/16/2019,16:17:58,1,77,T5a,51,2019
7/16/2019,16:17:59,1,76,T5a,51,2019
7/16/2019,16:24:21,1,79,T5a,51,2019
7/16/2019,16:17:50,2,64,T6,51,2019
7/16/2019,16:24:11,2,81,T6,51,2019
7/16/2019,16:24:12,2,96,T6,51,2019
7/16/2019,16:24:14,2,79,T6,51,2019
7/16/2019,16:24:17,3,69,T6,51,2019
7/16/2019,16:24:19,3,77,T6,51,2019
7/16/2019,16:24:21,3,87,T6,51,2019
7/16/2019,16:24:32,1,70,T6,51,2019
7/16/2019,16:24:35,2,78,T6,51,2019
7/16/2019,16:24:37,2,78,T6,51,2019
7/16/2019,16:24:38,2,78,T6,51,2019
7/16/2019,16:24:46,4,74,T6,51,2019
7/16/2019,16:24:48,4,74,T6,51,2019
7/16/2019,16:24:50,4,73,T6,51,2019
7/16/2019,16:24:53,1,69,T6,51,2019
7/16/2019,16:24:55,1,69,T6,51,2019
7/16/2019,16:24:56,1,70,T6,51,2019
7/16/2019,16:24:59,2,78,T6,51,2019
7/16/2019,16:25:01,2,77,T6,51,2019
7/16/2019,16:25:03,2,77,T6,51,2019
7/16/2019,16:25:11,4,74,T6,51,2019
7/16/2019,16:25:12,4,72,T6,51,2019
7/16/2019,16:25:14,4,73,T6,51,2019
7/16/2019,16:25:23,2,77,T6,51,2019
7/16/2019,16:25:25,2,77,T6,51,2019
7/16/2019,16:25:26,2,76,T6,51,2019
7/16/2019,16:25:47,2,77,T6,51,2019
7/16/2019,16:25:49,2,77,T6,51,2019
7/16/2019,16:25:50,2,77,T6,51,2019
7/16/2019,16:26:11,2,77,T6,51,2019
7/16/2019,16:26:13,2,77,T6,51,2019
7/16/2019,16:26:14,2,78,T6,51,2019
7/16/2019,16:26:35,2,77,T6,51,2019
7/16/2019,16:26:36,2,78,T6,51,2019
7/16/2019,16:26:38,2,76,T6,51,2019
7/16/2019,16:27:22,2,20,T6,51,2019
7/16/2019,16:27:24,2,11,T6,51,2019
7/16/2019,16:27:26,2,73,T6,51,2019
7/16/2019,16:28:10,2,78,T6,51,2019
7/16/2019,16:28:12,2,79,T6,51,2019
7/16/2019,16:28:14,2,79,T6,51,2019
7/16/2019,16:28:23,4,74,T6,51,2019
7/16/2019,16:28:25,4,73,T6,51,2019
7/16/2019,16:28:26,4,75,T6,51,2019
7/16/2019,16:28:34,2,76,T6,51,2019
7/16/2019,16:28:36,2,76,T6,51,2019
7/16/2019,16:28:38,2,76,T6,51,2019
7/16/2019,16:28:47,4,75,T6,51,2019
7/16/2019,16:28:49,4,74,T6,51,2019
7/16/2019,16:28:50,4,75,T6,51,2019
7/16/2019,16:28:54,1,70,T6,51,2019
7/16/2019,16:28:55,1,70,T6,51,2019
7/16/2019,16:28:58,2,78,T6,51,2019
7/16/2019,16:29:00,2,78,T6,51,2019
7/16/2019,16:29:02,2,78,T6,51,2019
7/16/2019,16:29:11,4,73,T6,51,2019
7/16/2019,16:29:13,4,73,T6,51,2019
7/16/2019,16:29:15,4,74,T6,51,2019
7/16/2019,16:29:18,1,71,T6,51,2019
7/16/2019,16:29:19,1,70,T6,51,2019
7/16/2019,16:29:23,2,78,T6,51,2019
7/16/2019,16:29:24,2,78,T6,51,2019
7/16/2019,16:29:26,2,79,T6,51,2019
7/16/2019,16:29:35,4,73,T6,51,2019
7/16/2019,16:29:37,4,75,T6,51,2019
7/16/2019,16:29:44,1,71,T6,51,2019
7/16/2019,16:29:47,2,79,T6,51,2019
7/16/2019,16:29:48,2,78,T6,51,2019
7/16/2019,16:29:50,2,78,T6,51,2019
7/16/2019,16:30:00,4,74,T6,51,2019
7/16/2019,16:30:01,4,75,T6,51,2019
7/16/2019,16:30:04,1,70,T6,51,2019
7/16/2019,16:30:06,1,69,T6,51,2019
7/16/2019,16:30:08,1,68,T6,51,2019
7/16/2019,16:30:11,2,77,T6,51,2019
7/16/2019,16:30:13,2,77,T6,51,2019
7/16/2019,16:30:14,2,77,T6,51,2019
7/16/2019,16:30:22,4,76,T6,51,2019
7/16/2019,16:30:24,4,75,T6,51,2019
7/16/2019,16:30:25,4,74,T6,51,2019
7/16/2019,16:30:29,1,70,T6,51,2019
7/16/2019,16:30:30,1,71,T6,51,2019
7/16/2019,16:30:32,1,70,T6,51,2019
7/16/2019,16:30:35,2,78,T6,51,2019
7/16/2019,16:30:37,2,78,T6,51,2019
7/16/2019,16:30:38,2,78,T6,51,2019
7/16/2019,16:30:47,4,75,T6,51,2019
7/16/2019,16:30:48,4,75,T6,51,2019
7/16/2019,16:30:50,4,75,T6,51,2019
7/16/2019,16:30:53,1,70,T6,51,2019
7/16/2019,16:30:55,1,70,T6,51,2019
7/16/2019,16:30:56,1,70,T6,51,2019
7/16/2019,16:30:59,2,78,T6,51,2019
7/16/2019,16:31:01,2,79,T6,51,2019
7/16/2019,16:31:11,4,76,T6,51,2019
7/16/2019,16:31:12,4,75,T6,51,2019
7/16/2019,16:31:14,4,76,T6,51,2019
7/16/2019,16:31:17,1,67,T6,51,2019
7/16/2019,16:31:19,1,71,T6,51,2019
7/16/2019,16:31:21,1,69,T6,51,2019
7/16/2019,16:31:24,2,77,T6,51,2019
7/16/2019,16:31:25,2,78,T6,51,2019
7/16/2019,16:31:35,4,75,T6,51,2019
7/16/2019,16:31:37,4,75,T6,51,2019
7/16/2019,16:31:38,4,75,T6,51,2019
7/16/2019,16:31:42,1,70,T6,51,2019
7/16/2019,16:31:43,1,68,T6,51,2019
7/16/2019,16:31:46,2,78,T6,51,2019
7/16/2019,16:31:48,2,77,T6,51,2019
7/16/2019,16:31:50,2,77,T6,51,2019
7/16/2019,16:31:59,4,75,T6,51,2019
7/16/2019,16:32:01,4,75,T6,51,2019
7/16/2019,16:32:04,1,70,T6,51,2019
