"","Date","Time","Channel","BPM","Antenna","Power","Latitude","Longitude","Tower","M_ID"
"136","8/9/2019","15:43:22",6,35.1,2,73,42.9207283,-92.6872,"T2","198"
"137","8/9/2019","15:45:01",6,35,2,63,42.9207267,-92.6872017,"T2","198"
"304","8/9/2019","14:54:28",16,35.2,2,64,42.9206367,-92.6844417,"T3","197"
"305","8/9/2019","14:54:52",16,35.1,2,61,42.920635,-92.6844417,"T3","197"
"306","8/9/2019","14:55:16",16,35.3,2,71,42.920635,-92.6844417,"T3","197"
"307","8/9/2019","14:55:17",16,35.2,2,76,42.920635,-92.6844417,"T3","197"
"308","8/9/2019","14:55:19",16,35.3,2,78,42.920635,-92.6844417,"T3","197"
"309","8/9/2019","14:56:29",16,35.3,2,79,42.9206333,-92.68444,"T3","197"
"310","8/9/2019","14:56:30",16,35.3,2,77,42.9206333,-92.68444,"T3","197"
"311","8/9/2019","14:56:53",16,35.3,2,79,42.9206333,-92.68444,"T3","197"
"312","8/9/2019","14:56:54",16,35.3,2,86,42.9206333,-92.68444,"T3","197"
"314","8/9/2019","15:11:16",16,33.8,2,59,42.9206217,-92.6844317,"T3","198"
"315","8/9/2019","15:11:18",16,33.9,2,58,42.9206217,-92.6844317,"T3","198"
"316","8/9/2019","15:11:39",16,34,2,63,42.9206233,-92.6844317,"T3","198"
"317","8/9/2019","15:11:41",16,34,2,62,42.9206233,-92.6844317,"T3","198"
"318","8/9/2019","15:11:43",16,34.1,2,64,42.9206233,-92.6844317,"T3","198"
"319","8/9/2019","15:12:04",16,34.1,2,60,42.9206217,-92.6844317,"T3","198"
"320","8/9/2019","15:43:05",16,35.1,2,83,42.9206267,-92.684435,"T3","198"
"321","8/9/2019","15:43:06",16,35.1,2,85,42.9206267,-92.684435,"T3","198"
"322","8/9/2019","15:43:10",16,35,3,63,42.9206267,-92.684435,"T3","198"
"323","8/9/2019","15:43:11",16,35.3,3,66,42.9206267,-92.684435,"T3","198"
"325","8/9/2019","15:43:23",16,35,1,82,42.9206267,-92.684435,"T3","198"
