"","Tower","T_N","T_E","T_Lat","T_Long","Antenna","EstAzimuth","CalcAzimuth","Date","L_ID","L_Lat","L_Long","L_N","L_E","Power"
"34","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,313.399588273993,"7/6/2019","T7-01",42.91663484,-92.69029723,4751603.824,525277.472,90.5
"35","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,313.399588273993,"7/6/2019","T7-01",42.91663484,-92.69029723,4751603.824,525277.472,112
"36","T7",4751587.388,525295.045,42.91648625,-92.69008267,4,322,313.399588273993,"7/6/2019","T7-01",42.91663484,-92.69029723,4751603.824,525277.472,117
"37","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,180.747900198839,"7/6/2019","T4-13",42.91879735,-92.69028597,4751843.967,525277.507,63
"38","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,339.587353113466,"7/6/2019","T4-13",42.91879735,-92.69028597,4751843.967,525277.507,126
"39","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,339.587353113466,"7/6/2019","T4-13",42.91879735,-92.69028597,4751843.967,525277.507,110
"40","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,339.587353113466,"7/6/2019","T4-13",42.91879735,-92.69028597,4751843.967,525277.507,126
"41","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,339.587353113466,"7/6/2019","T4-13",42.91879735,-92.69028597,4751843.967,525277.507,111.5
"42","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,356.314111665414,"7/6/2019","T4-13",42.91879735,-92.69028597,4751843.967,525277.507,76
"43","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,178.657872067191,"7/6/2019","T1-06",42.92040913,-92.69024746,4752022.962,525279.991,76.5
"44","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,178.657872067191,"7/6/2019","T1-06",42.92040913,-92.69024746,4752022.962,525279.991,102
"45","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,178.657872067191,"7/6/2019","T1-06",42.92040913,-92.69024746,4752022.962,525279.991,110.5
"46","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,178.657872067191,"7/6/2019","T1-06",42.92040913,-92.69024746,4752022.962,525279.991,124
"47","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,186.950320560548,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,109
"48","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,186.950320560548,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,108
"49","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,186.950320560548,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,122
"50","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,186.950320560548,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,137
"51","T8",4751595.309,525539.333,42.91654944,-92.68708931,3,0,308.453629719863,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,62
"52","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,357.021359486955,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,82
"53","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,357.021359486955,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,75
"54","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,357.021359486955,"7/6/2019","T4-02",42.91836794,-92.69021637,4751796.303,525283.363,66.5
"55","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,178.342111891379,"7/6/2019","T4-12",42.91880218,-92.69018247,4751844.534,525285.952,60
"56","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,358.192475416513,"7/6/2019","T4-12",42.91880218,-92.69018247,4751844.534,525285.952,65
"57","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,359.456777587903,"7/6/2019","T4-12",42.91880218,-92.69018247,4751844.534,525285.952,130.5
"58","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,359.456777587903,"7/6/2019","T4-12",42.91880218,-92.69018247,4751844.534,525285.952,112
"59","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,359.456777587903,"7/6/2019","T4-12",42.91880218,-92.69018247,4751844.534,525285.952,128.5
"60","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,359.456777587903,"7/6/2019","T4-12",42.91880218,-92.69018247,4751844.534,525285.952,103
"61","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,339.244986111204,"7/6/2019","T7-02",42.91669146,-92.69018886,4751610.144,525286.294,128.5
"62","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,339.244986111204,"7/6/2019","T7-02",42.91669146,-92.69018886,4751610.144,525286.294,113.5
"63","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,339.244986111204,"7/6/2019","T7-02",42.91669146,-92.69018886,4751610.144,525286.294,114
"64","T7",4751587.388,525295.045,42.91648625,-92.69008267,4,322,339.244986111204,"7/6/2019","T7-02",42.91669146,-92.69018886,4751610.144,525286.294,116
"65","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,156.029982157115,"7/6/2019","T1-05",42.92043264,-92.69014884,4752025.602,525288.03,101
"66","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,156.029982157115,"7/6/2019","T1-05",42.92043264,-92.69014884,4752025.602,525288.03,99
"67","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,156.029982157115,"7/6/2019","T1-05",42.92043264,-92.69014884,4752025.602,525288.03,107
"68","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,156.029982157115,"7/6/2019","T1-05",42.92043264,-92.69014884,4752025.602,525288.03,116
"69","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,168.8957732339,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,100
"70","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,168.8957732339,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,94
"71","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,168.8957732339,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,119
"72","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,168.8957732339,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,134
"73","T8",4751595.309,525539.333,42.91654944,-92.68708931,3,0,309.29288817848,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,64
"74","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,359.166145799674,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,83
"75","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,359.166145799674,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,76
"76","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,359.166145799674,"7/6/2019","T4-03",42.91836555,-92.69012002,4751796.067,525291.228,68
"77","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,188.916770768862,"7/6/2019","T7-11",42.91627032,-92.69012893,4751563.396,525291.357,106
"78","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,188.916770768862,"7/6/2019","T7-11",42.91627032,-92.69012893,4751563.396,525291.357,118
"79","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,188.916770768862,"7/6/2019","T7-11",42.91627032,-92.69012893,4751563.396,525291.357,127.5
"80","T7",4751587.388,525295.045,42.91648625,-92.69008267,4,322,188.916770768862,"7/6/2019","T7-11",42.91627032,-92.69012893,4751563.396,525291.357,106.5
"81","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,17.8511828155011,"7/6/2019","T4-11",42.91879327,-92.69008953,4751843.573,525293.541,123
"82","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,17.8511828155011,"7/6/2019","T4-11",42.91879327,-92.69008953,4751843.573,525293.541,110
"83","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,17.8511828155011,"7/6/2019","T4-11",42.91879327,-92.69008953,4751843.573,525293.541,128
"84","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,17.8511828155011,"7/6/2019","T4-11",42.91879327,-92.69008953,4751843.573,525293.541,112
"85","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,176.203420619864,"7/6/2019","T4-11",42.91879327,-92.69008953,4751843.573,525293.541,59
"86","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,359.875234259598,"7/6/2019","T4-11",42.91879327,-92.69008953,4751843.573,525293.541,73
"87","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,134.638470860512,"7/6/2019","T1-04",42.9204716,-92.69006868,4752029.953,525294.556,109
"88","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,134.638470860512,"7/6/2019","T1-04",42.9204716,-92.69006868,4752029.953,525294.556,111
"89","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,134.638470860512,"7/6/2019","T1-04",42.9204716,-92.69006868,4752029.953,525294.556,101
"90","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,134.638470860512,"7/6/2019","T1-04",42.9204716,-92.69006868,4752029.953,525294.556,108
"91","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,5.27039062592642,"7/6/2019","T7-03",42.91670243,-92.69005544,4751611.402,525297.179,132
"92","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,5.27039062592642,"7/6/2019","T7-03",42.91670243,-92.69005544,4751611.402,525297.179,119.5
"93","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,5.27039062592642,"7/6/2019","T7-03",42.91670243,-92.69005544,4751611.402,525297.179,120
"94","T7",4751587.388,525295.045,42.91648625,-92.69008267,4,322,5.27039062592642,"7/6/2019","T7-03",42.91670243,-92.69005544,4751611.402,525297.179,107
"95","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,1.21925391768948,"7/6/2019","T4-04",42.91839386,-92.69002723,4751799.239,525298.789,81
"96","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,1.21925391768948,"7/6/2019","T4-04",42.91839386,-92.69002723,4751799.239,525298.789,75
"97","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,1.21925391768948,"7/6/2019","T4-04",42.91839386,-92.69002723,4751799.239,525298.789,67
"98","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,150.124409234209,"7/6/2019","T4-04",42.91839386,-92.69002723,4751799.239,525298.789,99.5
"99","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,150.124409234209,"7/6/2019","T4-04",42.91839386,-92.69002723,4751799.239,525298.789,82
"100","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,150.124409234209,"7/6/2019","T4-04",42.91839386,-92.69002723,4751799.239,525298.789,118
"101","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,150.124409234209,"7/6/2019","T4-04",42.91839386,-92.69002723,4751799.239,525298.789,127.5
"102","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,114.035459028169,"7/6/2019","T1-03",42.92052783,-92.69001616,4752036.212,525298.82,111
"103","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,114.035459028169,"7/6/2019","T1-03",42.92052783,-92.69001616,4752036.212,525298.82,116
"104","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,114.035459028169,"7/6/2019","T1-03",42.92052783,-92.69001616,4752036.212,525298.82,101
"105","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,114.035459028169,"7/6/2019","T1-03",42.92052783,-92.69001616,4752036.212,525298.82,104
"106","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,1.34894620079539,"7/6/2019","T4-10",42.91876644,-92.69000935,4751840.618,525300.096,68
"107","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,1.34894620079539,"7/6/2019","T4-10",42.91876644,-92.69000935,4751840.618,525300.096,67
"108","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,34.9927983586198,"7/6/2019","T4-10",42.91876644,-92.69000935,4751840.618,525300.096,122
