"","Date","Time","Channel","BPM","Antenna","Power","Latitude","Longitude","Tower","M_ID"
"513","7/28/2019","13:18:09",12,35.9,1,69,42.918665,-92.6871483,"T5a","144"
"903","7/28/2019","15:11:01",12,35.8,3,71,42.918705,-92.6871317,"T5a","149"
"904","7/28/2019","15:11:04",12,35.7,1,89,42.918705,-92.6871317,"T5a","149"
"905","7/28/2019","15:11:06",12,35.7,1,89,42.918705,-92.6871317,"T5a","149"
"906","7/28/2019","15:11:08",12,35.7,1,89,42.918705,-92.6871317,"T5a","149"
"907","7/28/2019","15:11:11",12,35.7,2,87,42.918705,-92.6871317,"T5a","149"
"908","7/28/2019","15:11:13",12,35.6,2,89,42.918705,-92.6871317,"T5a","149"
"909","7/28/2019","15:11:15",12,35.6,2,80,42.918705,-92.6871317,"T5a","149"
"910","7/28/2019","15:11:18",12,35.5,3,67,42.918705,-92.6871317,"T5a","149"
"911","7/28/2019","15:11:20",12,36.3,3,70,42.918705,-92.6871317,"T5a","149"
"912","7/28/2019","15:11:23",12,35.9,1,93,42.918705,-92.6871317,"T5a","149"
"913","7/28/2019","15:11:25",12,36,1,91,42.918705,-92.6871317,"T5a","149"
"914","7/28/2019","15:11:26",12,36.1,1,85,42.918705,-92.6871317,"T5a","149"
"915","7/28/2019","15:11:30",12,36,2,109,42.918705,-92.6871317,"T5a","149"
"916","7/28/2019","15:11:31",12,36.1,2,115,42.918705,-92.6871317,"T5a","149"
"917","7/28/2019","15:11:35",12,36.1,3,92,42.918705,-92.6871317,"T5a","149"
"918","7/28/2019","15:11:36",12,36.1,3,76,42.918705,-92.6871317,"T5a","149"
"919","7/28/2019","15:11:38",12,36.1,3,79,42.9187033,-92.6871317,"T5a","149"
"920","7/28/2019","15:11:41",12,36.6,1,88,42.9187033,-92.6871317,"T5a","149"
"921","7/28/2019","15:11:43",12,35.8,1,85,42.9187033,-92.6871317,"T5a","149"
"922","7/28/2019","15:11:45",12,36.1,1,82,42.9187033,-92.6871317,"T5a","149"
"924","7/28/2019","15:11:59",12,36.2,1,83,42.9187033,-92.6871317,"T5a","149"
"925","7/28/2019","15:12:01",12,36.2,1,83,42.9187033,-92.6871317,"T5a","149"
"926","7/28/2019","15:12:04",12,36.2,2,81,42.9187033,-92.6871317,"T5a","149"
"927","7/28/2019","15:12:06",12,36.2,2,81,42.9187033,-92.6871317,"T5a","149"
