"","Tower","T_N","T_E","T_Lat","T_Long","Antenna","EstAzimuth","CalcAzimuth","Date","L_ID","L_Lat","L_Long","L_N","L_E","Power"
"35","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,47.3065722150173,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,90
"36","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,47.3065722150173,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,85
"37","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,47.3065722150173,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,100
"38","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,47.3065722150173,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,87
"39","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,164.810250267288,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,55
"40","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,225.382405504745,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,64
"41","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,277.78286567487,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,64.5
"42","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,277.78286567487,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,64
"43","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,277.78286567487,"7/8/2019","C8",42.91895228,-92.68964085,4751861.365,525330.095,61
"44","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,14.7366080525436,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,83
"45","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,14.7366080525436,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,67
"46","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,14.7366080525436,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,69
"47","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,129.75141562576,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,85
"48","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,129.75141562576,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,80
"49","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,129.75141562576,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,97
"50","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,129.75141562576,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,107
"51","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,213.200993639938,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,57
"52","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,252.850827042939,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,81
"53","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,252.850827042939,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,74
"54","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,252.850827042939,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,71
"55","T5",4751833.976,525536.961,42.91869874,-92.6871075,4,346,252.850827042939,"7/8/2019","D4",42.91816243,-92.68948064,4751773.704,525343.495,65
"56","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,10.3511088785608,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,70
"57","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,47.1434409896074,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,85
"58","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,47.1434409896074,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,71.5
"59","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,47.1434409896074,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,88
"60","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,47.1434409896074,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,71
"61","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,158.24781460189,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,56
"62","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,225.259424384784,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,73
"63","T2",4752058.259,525528.872,42.92071869,-92.68719639,3,230,225.259424384784,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,58.5
"64","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,283.155808410509,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,66.5
"65","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,283.155808410509,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,63
"66","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,283.155808410509,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,70
"67","T8",4751595.309,525539.333,42.91654944,-92.68708931,3,0,326.042366859064,"7/8/2019","C7",42.91909653,-92.68943162,4751877.447,525347.113,67
"68","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,20.7482289500144,"7/8/2019","D5",42.91801918,-92.68928969,4751757.853,525359.138,89
"69","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,20.7482289500144,"7/8/2019","D5",42.91801918,-92.68928969,4751757.853,525359.138,75
"70","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,20.7482289500144,"7/8/2019","D5",42.91801918,-92.68928969,4751757.853,525359.138,78
"71","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,131.123087854628,"7/8/2019","D5",42.91801918,-92.68928969,4751757.853,525359.138,68
"72","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,131.123087854628,"7/8/2019","D5",42.91801918,-92.68928969,4751757.853,525359.138,64.5
"73","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,131.123087854628,"7/8/2019","D5",42.91801918,-92.68928969,4751757.853,525359.138,83
"74","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,131.123087854628,"7/8/2019","D5",42.91801918,-92.68928969,4751757.853,525359.138,95
"75","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,46.5699006239721,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,58.5
"76","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,46.5699006239721,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,61
"77","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,46.5699006239721,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,66
"78","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,46.5699006239721,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,58
"79","T2",4752058.259,525528.872,42.92071869,-92.68719639,1,108,225.33919897436,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,56
"80","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,225.33919897436,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,74
"81","T2",4752058.259,525528.872,42.92071869,-92.68719639,3,230,225.33919897436,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,62
"82","T5",4751833.976,525536.961,42.91869874,-92.6871075,3,39,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,67
"83","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,71
"84","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,72
"85","T5",4751833.976,525536.961,42.91869874,-92.6871075,1,159,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,71
"86","T5",4751833.976,525536.961,42.91869874,-92.6871075,7,173,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,65
"87","T5",4751833.976,525536.961,42.91869874,-92.6871075,6,240,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,63.5
