"","Date","Time","Channel","BPM","Antenna","Power","Latitude","Longitude","Tower","M_ID"
"1150","7/19/2019","13:42:30",89,38.1,2,78,42.91869,-92.6844567,"T6","70"
"1151","7/19/2019","13:42:35",89,38.1,3,77,42.91869,-92.6844567,"T6","70"
"1152","7/19/2019","13:42:36",89,38.1,3,76,42.91869,-92.6844567,"T6","70"
"1153","7/19/2019","13:42:39",89,38.2,4,94,42.91869,-92.6844567,"T6","70"
"1154","7/19/2019","13:42:41",89,38.2,4,103,42.91869,-92.684455,"T6","70"
"1155","7/19/2019","13:42:43",89,38.1,4,91,42.91869,-92.684455,"T6","70"
"1156","7/19/2019","13:42:47",89,38.1,1,82,42.91869,-92.684455,"T6","70"
"1157","7/19/2019","13:42:49",89,38.1,1,97,42.91869,-92.684455,"T6","70"
"1440","7/19/2019","15:25:51",89,38.5,1,79,42.9165583,-92.68711,"T8","71"
