"","Date","Time","Channel","BPM","Antenna","Power","Latitude","Longitude","Tower","M_ID"
"826","8/1/2019","14:20:01",13,33.7,2,75,42.918735,-92.687135,"T5a","157"
"827","8/1/2019","14:20:10",13,33.4,1,70,42.918735,-92.687135,"T5a","157"
"828","8/1/2019","14:20:11",13,33.3,1,67,42.918735,-92.687135,"T5a","157"
"829","8/1/2019","14:20:15",13,33.2,2,68,42.918735,-92.687135,"T5a","157"
"831","8/1/2019","14:20:22",13,33.1,3,88,42.918735,-92.687135,"T5a","157"
"832","8/1/2019","14:20:24",13,33.3,3,81,42.918735,-92.687135,"T5a","157"
"833","8/1/2019","14:20:28",13,33.6,1,101,42.918735,-92.687135,"T5a","157"
"834","8/1/2019","14:20:30",13,33.7,1,115,42.918735,-92.687135,"T5a","157"
"835","8/1/2019","14:20:33",13,33.8,2,79,42.918735,-92.6871367,"T5a","157"
"836","8/1/2019","14:20:35",13,33.8,2,84,42.918735,-92.6871367,"T5a","157"
"837","8/1/2019","14:20:37",13,33.8,2,91,42.918735,-92.6871367,"T5a","157"
"838","8/1/2019","14:20:40",13,33.9,3,97,42.918735,-92.687135,"T5a","157"
"839","8/1/2019","14:20:42",13,33.9,3,94,42.918735,-92.687135,"T5a","157"
"840","8/1/2019","14:20:45",13,33.9,1,106,42.918735,-92.6871367,"T5a","157"
"841","8/1/2019","14:20:47",13,34,1,109,42.918735,-92.6871367,"T5a","157"
"842","8/1/2019","14:20:49",13,34,1,107,42.918735,-92.6871367,"T5a","157"
"843","8/1/2019","14:20:53",13,34,2,103,42.918735,-92.6871367,"T5a","157"
"844","8/1/2019","14:20:54",13,34,2,103,42.918735,-92.6871367,"T5a","157"
"845","8/1/2019","14:20:58",13,34.1,3,93,42.918735,-92.6871367,"T5a","157"
"846","8/1/2019","14:21:00",13,34.1,3,95,42.918735,-92.6871367,"T5a","157"
"847","8/1/2019","14:21:03",13,34.1,1,111,42.918735,-92.6871367,"T5a","157"
"848","8/1/2019","14:21:05",13,34.1,1,111,42.918735,-92.6871367,"T5a","157"
"849","8/1/2019","14:21:07",13,34.1,1,111,42.918735,-92.6871367,"T5a","157"
"850","8/1/2019","14:21:10",13,34.2,2,107,42.918735,-92.6871367,"T5a","157"
"851","8/1/2019","14:21:12",13,34.2,2,107,42.918735,-92.6871367,"T5a","157"
"852","8/1/2019","14:21:15",13,34.2,3,96,42.918735,-92.6871367,"T5a","157"
"853","8/1/2019","14:21:17",13,34.2,3,96,42.918735,-92.6871367,"T5a","157"
"854","8/1/2019","14:21:19",13,34.3,3,97,42.918735,-92.6871367,"T5a","157"
"855","8/1/2019","14:21:22",13,34.3,1,112,42.918735,-92.6871367,"T5a","157"
"856","8/1/2019","14:21:24",13,34.3,1,112,42.918735,-92.6871367,"T5a","157"
"857","8/1/2019","14:21:29",13,34.3,2,108,42.9187367,-92.6871367,"T5a","157"
"858","8/1/2019","14:21:33",13,34.4,3,96,42.9187367,-92.6871367,"T5a","157"
"859","8/1/2019","14:21:35",13,34.4,3,97,42.9187367,-92.6871367,"T5a","157"
"860","8/1/2019","14:21:36",13,34.4,3,96,42.9187367,-92.6871367,"T5a","157"
"861","8/1/2019","14:21:40",13,34.4,1,113,42.9187367,-92.6871367,"T5a","157"
"862","8/1/2019","14:21:42",13,34.4,1,113,42.9187367,-92.6871367,"T5a","157"
"863","8/1/2019","14:21:45",13,34.4,2,108,42.9187367,-92.6871367,"T5a","157"
"864","8/1/2019","14:21:47",13,34.5,2,107,42.9187367,-92.6871367,"T5a","157"
"865","8/1/2019","14:21:49",13,34.5,2,108,42.9187367,-92.6871367,"T5a","157"
"866","8/1/2019","14:21:52",13,34.5,3,97,42.9187367,-92.6871367,"T5a","157"
"867","8/1/2019","14:21:54",13,34.5,3,97,42.9187367,-92.6871367,"T5a","157"
"868","8/1/2019","14:21:57",13,34.5,1,112,42.9187367,-92.6871367,"T5a","157"
"869","8/1/2019","14:21:59",13,34.6,1,113,42.9187367,-92.6871367,"T5a","157"
"870","8/1/2019","14:22:01",13,34.6,1,113,42.9187367,-92.6871367,"T5a","157"
"871","8/1/2019","14:22:04",13,34.6,2,109,42.9187367,-92.6871367,"T5a","157"
"872","8/1/2019","14:22:06",13,34.6,2,109,42.9187367,-92.6871367,"T5a","157"
"873","8/1/2019","14:22:09",13,34.6,3,98,42.918735,-92.6871367,"T5a","157"
"874","8/1/2019","14:22:11",13,34.6,3,98,42.918735,-92.6871367,"T5a","157"
"875","8/1/2019","14:22:13",13,34.6,3,98,42.918735,-92.6871367,"T5a","157"
"876","8/1/2019","14:22:16",13,34.6,1,113,42.918735,-92.6871367,"T5a","157"
"877","8/1/2019","14:22:18",13,34.6,1,112,42.918735,-92.6871367,"T5a","157"
"878","8/1/2019","14:22:22",13,34.7,2,108,42.9187367,-92.6871367,"T5a","157"
"879","8/1/2019","14:22:23",13,34.7,2,109,42.9187367,-92.6871367,"T5a","157"
"880","8/1/2019","14:22:25",13,34.7,2,109,42.9187367,-92.687135,"T5a","157"
"881","8/1/2019","14:22:28",13,34.7,3,97,42.9187367,-92.687135,"T5a","157"
"882","8/1/2019","14:22:30",13,34.7,3,98,42.9187367,-92.687135,"T5a","157"
"883","8/1/2019","14:22:34",13,34.7,1,113,42.9187367,-92.6871367,"T5a","157"
"884","8/1/2019","14:22:35",13,34.7,1,113,42.9187367,-92.6871367,"T5a","157"
"885","8/1/2019","14:22:39",13,34.7,2,109,42.9187367,-92.6871367,"T5a","157"
"886","8/1/2019","14:22:41",13,34.8,2,109,42.9187367,-92.6871367,"T5a","157"
"887","8/1/2019","14:22:42",13,34.8,2,109,42.918735,-92.6871367,"T5a","157"
"888","8/1/2019","14:22:46",13,34.8,3,98,42.918735,-92.6871367,"T5a","157"
"889","8/1/2019","14:22:47",13,34.8,3,98,42.918735,-92.6871367,"T5a","157"
"890","8/1/2019","14:22:51",13,34.8,1,113,42.918735,-92.6871367,"T5a","157"
"891","8/1/2019","14:22:53",13,34.8,1,113,42.918735,-92.6871367,"T5a","157"
"892","8/1/2019","14:22:54",13,34.8,1,114,42.918735,-92.6871367,"T5a","157"
"893","8/1/2019","14:22:58",13,34.8,2,109,42.918735,-92.6871367,"T5a","157"
"894","8/1/2019","14:23:00",13,34.8,2,109,42.918735,-92.6871367,"T5a","157"
"895","8/1/2019","14:23:03",13,34.8,3,98,42.918735,-92.6871367,"T5a","157"
"896","8/1/2019","14:23:05",13,34.8,3,99,42.918735,-92.6871367,"T5a","157"
"897","8/1/2019","14:23:06",13,34.8,3,99,42.918735,-92.6871367,"T5a","157"
"898","8/1/2019","14:23:10",13,34.8,1,113,42.918735,-92.6871367,"T5a","157"
"899","8/1/2019","14:23:12",13,34.9,1,114,42.918735,-92.6871367,"T5a","157"
"900","8/1/2019","14:23:15",13,34.9,2,110,42.918735,-92.6871367,"T5a","157"
"901","8/1/2019","14:23:17",13,34.9,2,110,42.918735,-92.6871367,"T5a","157"
"902","8/1/2019","14:23:18",13,34.9,2,110,42.918735,-92.6871367,"T5a","157"
"903","8/1/2019","14:23:25",13,34.9,3,99,42.918735,-92.6871367,"T5a","157"
"904","8/1/2019","14:23:27",13,34.9,3,98,42.918735,-92.6871367,"T5a","157"
"905","8/1/2019","14:23:31",13,34.9,1,114,42.918735,-92.6871367,"T5a","157"
"906","8/1/2019","14:23:32",13,34.9,1,114,42.918735,-92.6871367,"T5a","157"
"907","8/1/2019","14:23:34",13,34.9,1,114,42.918735,-92.6871367,"T5a","157"
"908","8/1/2019","14:23:37",13,34.9,2,110,42.918735,-92.6871367,"T5a","157"
"909","8/1/2019","14:23:39",13,34.9,2,109,42.918735,-92.6871367,"T5a","157"
"910","8/1/2019","14:23:43",13,34.9,3,98,42.918735,-92.6871367,"T5a","157"
"911","8/1/2019","14:23:44",13,34.9,3,99,42.918735,-92.6871367,"T5a","157"
"912","8/1/2019","14:23:46",13,35,3,99,42.918735,-92.6871367,"T5a","157"
"913","8/1/2019","14:23:49",13,35,1,114,42.918735,-92.6871367,"T5a","157"
"914","8/1/2019","14:23:51",13,35,1,114,42.918735,-92.6871367,"T5a","157"
"915","8/1/2019","14:23:55",13,35,2,110,42.918735,-92.6871367,"T5a","157"
"916","8/1/2019","14:23:56",13,35,2,110,42.918735,-92.6871367,"T5a","157"
"917","8/1/2019","14:24:01",13,35,3,98,42.918735,-92.6871367,"T5a","157"
"918","8/1/2019","14:24:03",13,35,3,99,42.918735,-92.6871367,"T5a","157"
"919","8/1/2019","14:24:07",13,35,1,114,42.918735,-92.6871367,"T5a","157"
"920","8/1/2019","14:24:08",13,35,1,115,42.918735,-92.6871367,"T5a","157"
"921","8/1/2019","14:24:13",13,35,2,110,42.918735,-92.6871367,"T5a","157"
"922","8/1/2019","14:24:15",13,35,2,110,42.918735,-92.6871367,"T5a","157"
"923","8/1/2019","14:24:19",13,35,3,99,42.918735,-92.6871367,"T5a","157"
"924","8/1/2019","14:24:20",13,35,3,99,42.918735,-92.6871367,"T5a","157"
"925","8/1/2019","14:24:25",13,35,1,114,42.918735,-92.6871367,"T5a","157"
"926","8/1/2019","14:24:27",13,35,1,114,42.918735,-92.6871367,"T5a","157"
"927","8/1/2019","14:24:31",13,35,2,110,42.918735,-92.6871367,"T5a","157"
"928","8/1/2019","14:24:32",13,35,2,110,42.918735,-92.6871367,"T5a","157"
"929","8/1/2019","14:24:37",13,35.1,3,98,42.918735,-92.6871367,"T5a","157"
"930","8/1/2019","14:24:39",13,35,3,99,42.918735,-92.6871367,"T5a","157"
"931","8/1/2019","14:24:44",13,35.1,1,114,42.918735,-92.6871367,"T5a","157"
"932","8/1/2019","14:24:49",13,35.1,2,110,42.918735,-92.6871367,"T5a","157"
"933","8/1/2019","14:24:51",13,35.1,2,110,42.918735,-92.6871367,"T5a","157"
"934","8/1/2019","14:24:55",13,35.1,3,99,42.918735,-92.6871367,"T5a","157"
"935","8/1/2019","14:24:56",13,35.1,3,99,42.918735,-92.6871367,"T5a","157"
"936","8/1/2019","14:24:58",13,35.1,3,99,42.918735,-92.6871367,"T5a","157"
"937","8/1/2019","14:25:03",13,35.1,1,114,42.918735,-92.6871367,"T5a","157"
"938","8/1/2019","14:25:05",13,35.1,1,114,42.918735,-92.6871383,"T5a","157"
"939","8/1/2019","14:25:07",13,35.1,1,114,42.918735,-92.6871383,"T5a","157"
"940","8/1/2019","14:25:10",13,35.1,2,110,42.918735,-92.6871383,"T5a","157"
"941","8/1/2019","14:25:12",13,35.1,2,110,42.918735,-92.6871383,"T5a","157"
"942","8/1/2019","14:25:15",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"943","8/1/2019","14:25:17",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"944","8/1/2019","14:25:18",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"945","8/1/2019","14:25:22",13,35.1,1,115,42.918735,-92.6871383,"T5a","157"
"946","8/1/2019","14:25:24",13,35.1,1,115,42.918735,-92.6871383,"T5a","157"
"947","8/1/2019","14:25:27",13,35.1,2,110,42.918735,-92.6871383,"T5a","157"
"948","8/1/2019","14:25:29",13,35.1,2,111,42.918735,-92.6871383,"T5a","157"
"949","8/1/2019","14:25:30",13,35.1,2,111,42.918735,-92.6871383,"T5a","157"
"950","8/1/2019","14:25:34",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"951","8/1/2019","14:25:36",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"952","8/1/2019","14:25:39",13,35.1,1,115,42.918735,-92.6871383,"T5a","157"
"953","8/1/2019","14:25:41",13,35.1,1,114,42.918735,-92.6871383,"T5a","157"
"954","8/1/2019","14:25:42",13,35.1,1,115,42.918735,-92.6871383,"T5a","157"
"955","8/1/2019","14:25:46",13,35.1,2,110,42.918735,-92.6871383,"T5a","157"
"956","8/1/2019","14:25:48",13,35.1,2,110,42.918735,-92.6871383,"T5a","157"
"957","8/1/2019","14:25:51",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"958","8/1/2019","14:25:53",13,35.1,3,98,42.918735,-92.6871383,"T5a","157"
"959","8/1/2019","14:25:54",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"960","8/1/2019","14:25:58",13,35.2,1,115,42.918735,-92.6871383,"T5a","157"
"961","8/1/2019","14:25:59",13,35.1,1,114,42.918735,-92.6871383,"T5a","157"
"962","8/1/2019","14:26:03",13,35.2,2,111,42.918735,-92.6871383,"T5a","157"
"963","8/1/2019","14:26:05",13,35.2,2,110,42.918735,-92.6871383,"T5a","157"
"964","8/1/2019","14:26:06",13,35.1,2,110,42.918735,-92.6871383,"T5a","157"
"965","8/1/2019","14:26:10",13,35.2,3,99,42.918735,-92.6871383,"T5a","157"
"966","8/1/2019","14:26:11",13,35.1,3,99,42.918735,-92.6871383,"T5a","157"
"967","8/1/2019","14:26:15",13,35.2,1,115,42.918735,-92.6871383,"T5a","157"
"968","8/1/2019","14:26:17",13,35.2,1,114,42.918735,-92.6871383,"T5a","157"
"969","8/1/2019","14:26:18",13,35.2,1,115,42.918735,-92.6871383,"T5a","157"
"970","8/1/2019","14:26:22",13,35.2,2,109,42.918735,-92.6871383,"T5a","157"
"971","8/1/2019","14:26:23",13,35.2,2,109,42.918735,-92.6871383,"T5a","157"
"972","8/1/2019","14:26:27",13,35.2,3,99,42.918735,-92.6871383,"T5a","157"
"973","8/1/2019","14:26:28",13,35.2,3,99,42.918735,-92.6871383,"T5a","157"
"974","8/1/2019","14:26:30",13,35.2,3,99,42.918735,-92.6871383,"T5a","157"
"975","8/1/2019","14:26:34",13,35.2,1,115,42.918735,-92.6871383,"T5a","157"
"976","8/1/2019","14:26:35",13,35.2,1,115,42.918735,-92.6871383,"T5a","157"
"977","8/1/2019","14:26:39",13,35.2,2,110,42.918735,-92.6871383,"T5a","157"
"978","8/1/2019","14:26:40",13,35.2,2,110,42.918735,-92.6871383,"T5a","157"
"979","8/1/2019","14:26:42",13,35.2,2,110,42.918735,-92.6871383,"T5a","157"
"980","8/1/2019","14:26:46",13,35.2,3,99,42.918735,-92.6871383,"T5a","157"
